,2013-01-11,2013-01-18,2013-01-25,2013-02-01,2013-02-08,2013-02-15,2013-02-22,2013-03-01,2013-03-08,2013-03-11,
2.0_5_200_VOL,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,
2.0_5_200_CREDIT,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,
1.0_21_300_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.0_21_300_VOL,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,
1.0_21_300_CREDIT,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
1.25_5_300_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.25_5_300_VOL,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,
1.25_5_300_CREDIT,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,
1.5_10_200_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.5_10_200_VOL,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,
1.5_10_200_CREDIT,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,
2.0_10_300_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
2.0_10_300_VOL,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,
2.0_10_300_CREDIT,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,
1.5_5_200_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.5_5_200_VOL,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,
1.5_5_200_CREDIT,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,
1.25_21_300_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.25_21_300_VOL,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,
1.25_21_300_CREDIT,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,
1.25_5_200_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.25_5_200_VOL,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,
1.25_5_200_CREDIT,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,
1.75_5_400_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.75_5_400_VOL,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,
1.75_5_400_CREDIT,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,
1.25_21_400_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.25_21_400_VOL,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,
1.25_21_400_CREDIT,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,
1.0_5_300_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.0_5_300_VOL,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,
1.0_5_300_CREDIT,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,
1.5_5_400_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.5_5_400_VOL,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,
1.5_5_400_CREDIT,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,
2.0_21_300_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
2.0_21_300_VOL,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,
2.0_21_300_CREDIT,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
1.25_5_400_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.25_5_400_VOL,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,
1.25_5_400_CREDIT,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,
1.5_21_300_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.5_21_300_VOL,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,
1.5_21_300_CREDIT,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,
1.25_10_400_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.25_10_400_VOL,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,
1.25_10_400_CREDIT,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
1.75_5_300_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.75_5_300_VOL,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,
1.75_5_300_CREDIT,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,
1.25_10_300_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.25_10_300_VOL,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,
1.25_10_300_CREDIT,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
1.75_10_300_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.75_10_300_VOL,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,
1.75_10_300_CREDIT,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,
1.5_5_300_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.5_5_300_VOL,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,
1.5_5_300_CREDIT,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,
1.5_21_400_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.5_21_400_VOL,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,
1.5_21_400_CREDIT,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,
1.0_10_300_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.0_10_300_VOL,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,
1.0_10_300_CREDIT,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,
2.0_10_400_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
2.0_10_400_VOL,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,
2.0_10_400_CREDIT,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,
2.0_21_400_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
2.0_21_400_VOL,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,
2.0_21_400_CREDIT,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
1.75_10_200_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.75_10_200_VOL,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,
1.75_10_200_CREDIT,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
1.75_21_400_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.75_21_400_VOL,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,
1.75_21_400_CREDIT,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
